landuse,total_lotarea_before_corrections,total_lotarea_after_corrections,difference
1 & 2-Family,1827684793,1827689865,5072
MF Walk-up,477401193,480964369,3563176
MF Elevator,347675383,349259096,1583713
Resid. & Commerc.,246226680,249465963,3239283
Commercial,272108523,272108523,0
Industrial,228108881,228087155,-21726
Transportation,490841651,642801254,151959603
Public Facilities,534900031,534900031,0
Open Space,1613283238,1613556095,272857
Parking,86054314,86066072,11758
Vacant Land,555829858,560153225,4323367
NULL,75905070,77537963,1632893
