BBL,Address,NumBldgs,geom
1002240032,454 GREENWICH STREET,3,0106000020D7080000010000000103000000010000000E0000000039B70D11F42D4100A078FE6FC7084100AD58730AF42D4100969C83AAC608418099DEB503F42D4100A2DCEBE0C5084100345E15A3F42D4100782AB88FC5084100DC5D5496F42D4100F6F85A03C4084100B368BF48F42D4100D430A42BC40841004A036248F42D41008065681FC4084180226C26F6F32D410052DDD14BC4084180CDBEF7CCF32D4100AA6B1A61C408410097F0757AF32D4100AAB0BF8BC408418051EDC650F32D410002C44AA1C40841009DEBC65DF32D4100269B5035C6084180549DA06AF32D4100582CB3C4C708410039B70D11F42D4100A078FE6FC70841
1003460039, DELANCEY STREET,2,0106000020D70800000100000001030000000100000005000000805C08BF4A252E410078A9C6987008418071DA34C7242E4100640E3274710841805839046A252E410068E2DBD9770841808F81DBEC252E4100AC2E4A0F770841805C08BF4A252E410078A9C698700841
1005210009,304 MULBERRY STREET,1,0106000020D70800000100000001030000000100000009000000800623A51E162E4100EAC9AF76DC0841808D6093C4152E4100A6ADDC51D808410001623DAF152E410072919356D7084100E8D436AF152E410044A04556D7084180F8203D0F152E4100A0F37D37D8084100142F440F152E4100C6E0C937D80841809E2E8631152E41006A6CD2A9D908418091C09487152E4100BAB05B4BDD0841800623A51E162E4100EAC9AF76DC0841
1006450021,51 LITTLE WEST 12 ST,1,0106000020D7080000010000000103000000010000000500000000468EDB68F72D41002A73DBBB850941007714313CF72D41002C35981E860941809D4711A2F72D4100A2DCC6048909410036A5ADCEF72D41000A49A1A188094100468EDB68F72D41002A73DBBB850941
1007370022,413 WEST 39 STREET,1,0106000020D7080000010000000103000000010000000600000000989381BA152E410010A63E46450A418046CF035A152E4100CC3BDC8D420A410031EE8CF8142E4100400E6DCE3F0A4100A8853524142E4100B8C868A3410A41800F562AE6142E410084B4391B470A4100989381BA152E410010A63E46450A41
1008960131,236 EAST 15TH STREET,1,0106000020D7080000010000000103000000010000000600000000CA5C32AF292E4100B292545A32094100C69D214A292E4100D86FBE812F094180A59FB636292E4100D0BAE6AC2F094100472B101E292E4100C69AAFE32F09410023AB1683292E41008480FCBB32094100CA5C32AF292E4100B292545A320941
1010290019,219 WEST 57 STREET,1,0106000020D7080000010000000103000000010000000500000080B70AD22D332E41008A6B8FB8AA0A4180462418C7322E4100E4E9CAEFA70A418063B5151E322E41001EA21465A90A418040E4C880322E41002E42BE36AC0A4180B70AD22D332E41008A6B8FB8AA0A41
1011830028,305 WEST 71 STREET,1,0106000020D708000001000000010300000001000000070000008053FA5498292E41000AE9D678420B4180F53E3688292E410038A0D504420B41801DAB0079292E4100C0706197410B4100286F7332292E41006AECA89B3F0B4100412DBA04292E4100805FBE00400B41806CB89B6A292E4100205CECDD420B418053FA5498292E41000AE9D678420B41
1013110014,678 LEXINGTON AVENUE,1,0106000020D708000001000000010300000001000000050000008032EE27234B2E4100EC130BE3670A4100F9DAC7114B2E410044740866670A4100A91E78A74A2E410010724153680A4100D2CF91B84A2E4100DEE402CF680A418032EE27234B2E4100EC130BE3670A41
1015570004,1830 2 AVENUE,1,0106000020D7080000010000000103000000010000000500000080B65D95377B2E4100A224DF2F6A0B4180C28F97207B2E41009642E388690B4180429DD59A7A2E4100C8BD5EB06A0B4180366BD3B17A2E4100D69F5A576B0B4180B65D95377B2E4100A224DF2F6A0B41
1017000058,275 F D R DRIVE,1,0106000020D7080000010000000103000000010000000B000000002E7E2480932E4100488E3439AC0B410023AD3A6C932E4100CEE556A8AB0B41806D67AC60932E410010382554AB0B418045A7566F912E4100B67F109FAF0B4180EDC02264912E41003AAD1E1BAF0B4100D51202D0902E4100C81FE753A80B41006E037ACA902E41006A8CEE12A80B4100190D3EBE902E41009633992DA80B410045D91968912E4100821FBD10B00B41000891F674912E4100886BEDAEB00B41002E7E2480932E4100488E3439AC0B41
1017850015,231 EAST 120 STREET,1,0106000020D7080000010000000103000000010000000500000080AD39F5B7922E4100B4B6318F2D0C41805B415D54922E410002CCE2BD2A0C4100A51E1D15922E410062F3544A2B0C4180F86CB578922E4100168AA41B2E0C4180AD39F5B7922E4100B4B6318F2D0C41
1018470030,310 WEST 113 STREET,1,0106000020D7080000010000000103000000010000000900000080FCDE0290652E410094E792FF480C41009DBDEB2C652E410036CB0033460C41007529B510652E41003862D071460C41001BD9F5F4642E4100389196AF460C4100874816D7642E4100848A17F2460C4100E7692D3A652E4100DE4EA8BE490C41807B250D58652E41009055277C490C4180D575CC73652E410094D2613E490C4180FCDE0290652E410094E792FF480C41
1019660095,450 WEST 126 STREET,1,0106000020D7080000010000000103000000010000001200000000EB1573EF6B2E41004CCDD684B90C41807C1D2F786B2E4100B837224AB80C41000B6B3E576B2E410042DE105FB70C41001560F1E26A2E410092D8BB1FBA0C4100F66CF7DC6A2E4100A8E8F043BA0C4180C7D554C36A2E4100E2DE4AD6BA0C4100932790966A2E410052908AE5BB0C4100B26F705C6A2E4100DCBAB645BD0C418034B1E3306A2E4100C0FF944DBE0C41804589F7046A2E41005E1DB557BF0C4180110633D8692E41004C2C4E66C00C41007FB69EBB692E4100C2B41D14C10C4180D84FD4A0692E4100C4986FB6C10C41809C99194B6A2E41000C9FBA77C30C41000D3902826A2E4100E4130A2BC20C4100CDE930D96B2E410012CBB30BBA0C4100D8C433D96B2E4100CE52A20BBA0C4100EB1573EF6B2E41004CCDD684B90C41
