difference,count
1,15611
-1,3932
2,562
-2,234
3,139
4,69
-3,49
5,37
6,22
-4,16
7,13
9,11
-5,10
8,9
12,6
-6,6
-10,5
11,5
-12,5
10,4
13,3
-8,3
-7,3
-9,2
14,2
20,2
16,2
18,2
-26,2
-33,2
-13,2
42,1
-18,1
-99,1
-101,1
-37,1
-22,1
-38,1
15,1
-24,1
54,1
38,1
277,1
30,1
31,1
-17,1
-75,1
21,1
23,1
114,1
176,1
-63,1
-127,1
-14,1
-11,1
147,1
-49,1
-16,1
