borocode,ntacode,ntaname,ntacount,decade_built,decade_count,build_rat
BK,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15261,1940s,4006,26.24991809
BK,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15261,1950s,2421,15.86396697
BK,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15261,1960s,805,5.27488369
BK,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15261,1970s,169,1.107397942
BK,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15261,1980s,93,0.609396501
BK,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15261,1990s,137,0.897713125
BK,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15261,2000s,268,1.756110347
BK,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15261,2010s,134,0.878055173
BK,BK19,Brighton Beach,4105,1890s,21,0.511571255
BK,BK19,Brighton Beach,4105,1900s,37,0.901339829
BK,BK19,Brighton Beach,4105,1910s,146,3.556638246
BK,BK19,Brighton Beach,4105,1920s,850,20.70645554
BK,BK19,Brighton Beach,4105,1930s,1234,30.06090134
BK,BK19,Brighton Beach,4105,1940s,775,18.87941535
BK,BK19,Brighton Beach,4105,1950s,486,11.83922046
BK,BK19,Brighton Beach,4105,1960s,156,3.800243605
BK,BK19,Brighton Beach,4105,1970s,22,0.53593179
BK,BK19,Brighton Beach,4105,1980s,15,0.365408039
BK,BK19,Brighton Beach,4105,1990s,37,0.901339829
BK,BK19,Brighton Beach,4105,2000s,125,3.045066991
BK,BK19,Brighton Beach,4105,2010s,54,1.31546894
BK,BK21,Seagate-Coney Island,8061,1840s,1,0.012405409
BK,BK21,Seagate-Coney Island,8061,1880s,1,0.012405409
BK,BK21,Seagate-Coney Island,8061,1890s,11,0.136459496
BK,BK21,Seagate-Coney Island,8061,1900s,103,1.277757102
BK,BK21,Seagate-Coney Island,8061,1910s,199,2.468676343
BK,BK21,Seagate-Coney Island,8061,1920s,1305,16.18905843
BK,BK21,Seagate-Coney Island,8061,1930s,1382,17.1442749
BK,BK21,Seagate-Coney Island,8061,1940s,694,8.609353678
BK,BK21,Seagate-Coney Island,8061,1950s,1113,13.80721995
BK,BK21,Seagate-Coney Island,8061,1960s,837,10.38332713
BK,BK21,Seagate-Coney Island,8061,1970s,225,2.791216971
BK,BK21,Seagate-Coney Island,8061,1980s,694,8.609353678
BK,BK21,Seagate-Coney Island,8061,1990s,440,5.458379854
BK,BK21,Seagate-Coney Island,8061,2000s,399,4.949758095
BK,BK21,Seagate-Coney Island,8061,2010s,117,1.451432825
BK,BK23,West Brighton,468,1900s,2,0.427350427
BK,BK23,West Brighton,468,1910s,1,0.213675214
BK,BK23,West Brighton,468,1920s,25,5.341880342
BK,BK23,West Brighton,468,1930s,80,17.09401709
BK,BK23,West Brighton,468,1940s,9,1.923076923
BK,BK23,West Brighton,468,1950s,209,44.65811966
BK,BK23,West Brighton,468,1960s,62,13.24786325
BK,BK23,West Brighton,468,1970s,4,0.854700855
BK,BK23,West Brighton,468,1990s,1,0.213675214
BK,BK23,West Brighton,468,2000s,33,7.051282051
BK,BK23,West Brighton,468,2010s,8,1.709401709
BK,BK25,Homecrest,11327,1890s,74,0.653306259
BK,BK25,Homecrest,11327,1900s,241,2.127659574
BK,BK25,Homecrest,11327,1910s,567,5.005738501
BK,BK25,Homecrest,11327,1920s,3815,33.68058621
BK,BK25,Homecrest,11327,1930s,2930,25.86739649
BK,BK25,Homecrest,11327,1940s,676,5.968040964
BK,BK25,Homecrest,11327,1950s,1135,10.02030546
BK,BK25,Homecrest,11327,1960s,564,4.979253112
BK,BK25,Homecrest,11327,1970s,172,1.51849563
BK,BK25,Homecrest,11327,1980s,80,0.706277037
BK,BK25,Homecrest,11327,1990s,143,1.262470204
BK,BK25,Homecrest,11327,2000s,500,4.414231482
BK,BK25,Homecrest,11327,2010s,160,1.412554074
BK,BK26,Gravesend,6711,1890s,27,0.402324542
BK,BK26,Gravesend,6711,1900s,63,0.938757264
BK,BK26,Gravesend,6711,1910s,132,1.966919982
BK,BK26,Gravesend,6711,1920s,1028,15.31813441
BK,BK26,Gravesend,6711,1930s,1457,21.71062435
BK,BK26,Gravesend,6711,1940s,838,12.4869617
BK,BK26,Gravesend,6711,1950s,1157,17.24035166
BK,BK26,Gravesend,6711,1960s,701,10.44553718
BK,BK26,Gravesend,6711,1970s,134,1.9967218
BK,BK26,Gravesend,6711,1980s,134,1.9967218
BK,BK26,Gravesend,6711,1990s,168,2.503352705
BK,BK26,Gravesend,6711,2000s,325,4.842795411
BK,BK26,Gravesend,6711,2010s,103,1.534793622
BK,BK27,Bath Beach,11095,1890s,161,1.451104101
BK,BK27,Bath Beach,11095,1900s,435,3.920684993
BK,BK27,Bath Beach,11095,1910s,575,5.182514646
BK,BK27,Bath Beach,11095,1920s,2698,24.31726003
BK,BK27,Bath Beach,11095,1930s,2232,20.1171699
BK,BK27,Bath Beach,11095,1940s,1058,9.535826949
BK,BK27,Bath Beach,11095,1950s,871,7.850383055
BK,BK27,Bath Beach,11095,1960s,377,3.397926994
BK,BK27,Bath Beach,11095,1970s,269,2.424515548
BK,BK27,Bath Beach,11095,1980s,527,4.749887337
BK,BK27,Bath Beach,11095,1990s,410,3.695358269
BK,BK27,Bath Beach,11095,2000s,372,3.352861649
BK,BK27,Bath Beach,11095,2010s,187,1.685443894
BK,BK28,Bensonhurst West,27389,1800s,2,0.007302202
BK,BK28,Bensonhurst West,27389,1810s,1,0.003651101
BK,BK28,Bensonhurst West,27389,1880s,2,0.007302202
BK,BK28,Bensonhurst West,27389,1890s,181,0.660849246
BK,BK28,Bensonhurst West,27389,1900s,727,2.654350287
BK,BK28,Bensonhurst West,27389,1910s,2044,7.462850049
BK,BK28,Bensonhurst West,27389,1920s,7941,28.99339151
BK,BK28,Bensonhurst West,27389,1930s,6434,23.49118259
BK,BK28,Bensonhurst West,27389,1940s,2222,8.112745993
BK,BK28,Bensonhurst West,27389,1950s,2017,7.364270328
BK,BK28,Bensonhurst West,27389,1960s,1333,4.866917376
BK,BK28,Bensonhurst West,27389,1970s,363,1.325349593
BK,BK28,Bensonhurst West,27389,1980s,290,1.058819234
BK,BK28,Bensonhurst West,27389,1990s,1038,3.789842638
BK,BK28,Bensonhurst West,27389,2000s,1457,5.319653876
BK,BK28,Bensonhurst West,27389,2010s,276,1.007703823
BK,BK29,Bensonhurst East,16336,1890s,55,0.336679726
BK,BK29,Bensonhurst East,16336,1900s,209,1.279382958
BK,BK29,Bensonhurst East,16336,1910s,729,4.462536729
BK,BK29,Bensonhurst East,16336,1920s,4832,29.57884427
BK,BK29,Bensonhurst East,16336,1930s,4085,25.00612145
BK,BK29,Bensonhurst East,16336,1940s,1389,8.502693438
BK,BK29,Bensonhurst East,16336,1950s,2112,12.92850147
BK,BK29,Bensonhurst East,16336,1960s,1529,9.359696376
BK,BK29,Bensonhurst East,16336,1970s,216,1.322233105
BK,BK29,Bensonhurst East,16336,1980s,84,0.514201763
BK,BK29,Bensonhurst East,16336,1990s,157,0.961067581
BK,BK29,Bensonhurst East,16336,2000s,378,2.313907933
BK,BK29,Bensonhurst East,16336,2010s,120,0.734573947
BK,BK30,Dyker Heights,21262,1680s,1,0.004703226
BK,BK30,Dyker Heights,21262,1800s,1,0.004703226
BK,BK30,Dyker Heights,21262,1860s,1,0.004703226
BK,BK30,Dyker Heights,21262,1870s,1,0.004703226
BK,BK30,Dyker Heights,21262,1880s,14,0.06584517
BK,BK30,Dyker Heights,21262,1890s,363,1.707271188
BK,BK30,Dyker Heights,21262,1900s,1042,4.900761923
BK,BK30,Dyker Heights,21262,1910s,2287,10.75627881
BK,BK30,Dyker Heights,21262,1920s,6961,32.73915906
BK,BK30,Dyker Heights,21262,1930s,3366,15.83106011
BK,BK30,Dyker Heights,21262,1940s,908,4.270529583
BK,BK30,Dyker Heights,21262,1950s,1314,6.180039507
BK,BK30,Dyker Heights,21262,1960s,957,4.500987678
BK,BK30,Dyker Heights,21262,1970s,351,1.650832471
BK,BK30,Dyker Heights,21262,1980s,494,2.323393848
BK,BK30,Dyker Heights,21262,1990s,675,3.174677829
BK,BK30,Dyker Heights,21262,2000s,1129,5.309942621
BK,BK30,Dyker Heights,21262,2010s,292,1.373342113
BK,BK31,Bay Ridge,31481,1800s,3,0.009529558
BK,BK31,Bay Ridge,31481,1830s,2,0.006353038
BK,BK31,Bay Ridge,31481,1840s,3,0.009529558
BK,BK31,Bay Ridge,31481,1850s,3,0.009529558
BK,BK31,Bay Ridge,31481,1860s,2,0.006353038
BK,BK31,Bay Ridge,31481,1870s,5,0.015882596
BK,BK31,Bay Ridge,31481,1880s,14,0.044471268
BK,BK31,Bay Ridge,31481,1890s,616,1.956735809
BK,BK31,Bay Ridge,31481,1900s,1806,5.736793622
BK,BK31,Bay Ridge,31481,1910s,3327,10.56827928
BK,BK31,Bay Ridge,31481,1920s,9906,31.4665989
BK,BK31,Bay Ridge,31481,1930s,3773,11.98500683
BK,BK31,Bay Ridge,31481,1940s,1155,3.668879642
BK,BK31,Bay Ridge,31481,1950s,1859,5.905149138
BK,BK31,Bay Ridge,31481,1960s,3221,10.23156825
BK,BK31,Bay Ridge,31481,1970s,1196,3.799116928
BK,BK31,Bay Ridge,31481,1980s,895,2.842984657
BK,BK31,Bay Ridge,31481,1990s,1027,3.262285188
BK,BK31,Bay Ridge,31481,2000s,1258,3.996061116
BK,BK31,Bay Ridge,31481,2010s,397,1.261078111
BK,BK32,Sunset Park West,18001,1850s,3,0.016665741
BK,BK32,Sunset Park West,18001,1860s,1,0.005555247
BK,BK32,Sunset Park West,18001,1870s,3,0.016665741
BK,BK32,Sunset Park West,18001,1880s,8,0.044441975
BK,BK32,Sunset Park West,18001,1890s,636,3.533137048
BK,BK32,Sunset Park West,18001,1900s,1617,8.982834287
BK,BK32,Sunset Park West,18001,1910s,2740,15.22137659
BK,BK32,Sunset Park West,18001,1920s,4037,22.42653186
BK,BK32,Sunset Park West,18001,1930s,2532,14.06588523
BK,BK32,Sunset Park West,18001,1940s,894,4.966390756
BK,BK32,Sunset Park West,18001,1950s,1305,7.249597245
BK,BK32,Sunset Park West,18001,1960s,1030,5.721904339
BK,BK32,Sunset Park West,18001,1970s,422,2.344314205
BK,BK32,Sunset Park West,18001,1980s,510,2.833175935
BK,BK32,Sunset Park West,18001,1990s,341,1.894339203
BK,BK32,Sunset Park West,18001,2000s,997,5.53858119
BK,BK32,Sunset Park West,18001,2010s,240,1.333259263
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1790s,1,0.006375518
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1800s,10,0.06375518
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1820s,3,0.019126554
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1830s,4,0.025502072
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1840s,17,0.108383806
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1850s,11,0.070130698
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1860s,10,0.06375518
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1870s,16,0.102008288
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1880s,27,0.172138986
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1890s,1652,10.53235575
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1900s,2928,18.66751674
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1910s,1350,8.606949315
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1920s,2295,14.63181383
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1930s,2275,14.50430347
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1940s,704,4.48836468
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1950s,701,4.469238126
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1960s,501,3.194134523
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1970s,207,1.319732228
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1980s,266,1.695887791
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,1990s,761,4.851769206
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,2000s,561,3.576665604
BK,BK33,Carroll Gardens-Columbia Street-Red Hook,15685,2010s,313,1.995537137
BK,BK34,Sunset Park East,18036,1800s,2,0.011088933
BK,BK34,Sunset Park East,18036,1840s,1,0.005544467
BK,BK34,Sunset Park East,18036,1850s,1,0.005544467
BK,BK34,Sunset Park East,18036,1860s,2,0.011088933
BK,BK34,Sunset Park East,18036,1880s,9,0.0499002
BK,BK34,Sunset Park East,18036,1890s,463,2.567088046
BK,BK34,Sunset Park East,18036,1900s,1057,5.86050122
BK,BK34,Sunset Park East,18036,1910s,2509,13.91106676
BK,BK34,Sunset Park East,18036,1920s,6582,36.49367931
BK,BK34,Sunset Park East,18036,1930s,3242,17.97516079
BK,BK34,Sunset Park East,18036,1940s,591,3.276779774
BK,BK34,Sunset Park East,18036,1950s,797,4.418939898
BK,BK34,Sunset Park East,18036,1960s,819,4.540918164
BK,BK34,Sunset Park East,18036,1970s,286,1.585717454
BK,BK34,Sunset Park East,18036,1980s,273,1.513639388
BK,BK34,Sunset Park East,18036,1990s,126,0.698602794
BK,BK34,Sunset Park East,18036,2000s,479,2.655799512
BK,BK34,Sunset Park East,18036,2010s,212,1.175426924
BK,BK35,Stuyvesant Heights,15366,1780s,1,0.006507875
BK,BK35,Stuyvesant Heights,15366,1800s,3,0.019523624
BK,BK35,Stuyvesant Heights,15366,1870s,1,0.006507875
BK,BK35,Stuyvesant Heights,15366,1890s,3420,22.25693089
BK,BK35,Stuyvesant Heights,15366,1900s,1316,8.564362879
BK,BK35,Stuyvesant Heights,15366,1910s,1263,8.219445529
BK,BK35,Stuyvesant Heights,15366,1920s,2177,14.16764285
BK,BK35,Stuyvesant Heights,15366,1930s,2778,18.07887544
BK,BK35,Stuyvesant Heights,15366,1940s,701,4.562020044
BK,BK35,Stuyvesant Heights,15366,1950s,393,2.55759469
BK,BK35,Stuyvesant Heights,15366,1960s,364,2.368866328
BK,BK35,Stuyvesant Heights,15366,1970s,163,1.060783548
BK,BK35,Stuyvesant Heights,15366,1980s,305,1.984901731
BK,BK35,Stuyvesant Heights,15366,1990s,535,3.481712873
BK,BK35,Stuyvesant Heights,15366,2000s,902,5.870102824
BK,BK35,Stuyvesant Heights,15366,2010s,291,1.893791488
BK,BK37,Park Slope-Gowanus,22415,1800s,9,0.040151684
BK,BK37,Park Slope-Gowanus,22415,1850s,2,0.008922596
BK,BK37,Park Slope-Gowanus,22415,1860s,4,0.017845193
BK,BK37,Park Slope-Gowanus,22415,1870s,3,0.013383895
BK,BK37,Park Slope-Gowanus,22415,1880s,45,0.200758421
BK,BK37,Park Slope-Gowanus,22415,1890s,2466,11.00156145
BK,BK37,Park Slope-Gowanus,22415,1900s,3620,16.14989962
BK,BK37,Park Slope-Gowanus,22415,1910s,2129,9.498103948
BK,BK37,Park Slope-Gowanus,22415,1920s,5083,22.67677894
BK,BK37,Park Slope-Gowanus,22415,1930s,2527,11.27370065
BK,BK37,Park Slope-Gowanus,22415,1940s,797,3.555654696
BK,BK37,Park Slope-Gowanus,22415,1950s,1085,4.840508588
BK,BK37,Park Slope-Gowanus,22415,1960s,775,3.457506134
BK,BK37,Park Slope-Gowanus,22415,1970s,451,2.012045505
BK,BK37,Park Slope-Gowanus,22415,1980s,611,2.725853223
BK,BK37,Park Slope-Gowanus,22415,1990s,731,3.261209012
BK,BK37,Park Slope-Gowanus,22415,2000s,881,3.930403747
BK,BK37,Park Slope-Gowanus,22415,2010s,299,1.333928173
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1790s,2,0.022058013
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1800s,13,0.143377082
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1810s,1,0.011029006
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1820s,5,0.055145031
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1830s,2,0.022058013
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1840s,5,0.055145031
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1850s,12,0.132348075
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1860s,5,0.055145031
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1870s,5,0.055145031
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1880s,21,0.231609132
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1890s,877,9.672438513
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1900s,1216,13.41127164
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1910s,1417,15.62810191
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1920s,1609,17.74567112
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1930s,1028,11.33781846
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1940s,204,2.249917282
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1950s,187,2.062424176
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1960s,214,2.360207345
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1970s,96,1.058784604
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1980s,146,1.610234918
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,1990s,402,4.433660527
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,2000s,629,6.937244954
BK,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,9067,2010s,325,3.584427043
BK,BK40,Windsor Terrace,5026,1800s,2,0.039793076
BK,BK40,Windsor Terrace,5026,1860s,1,0.019896538
BK,BK40,Windsor Terrace,5026,1880s,3,0.059689614
BK,BK40,Windsor Terrace,5026,1890s,366,7.282132909
BK,BK40,Windsor Terrace,5026,1900s,777,15.45961003
BK,BK40,Windsor Terrace,5026,1910s,760,15.12136888
BK,BK40,Windsor Terrace,5026,1920s,1406,27.97453243
BK,BK40,Windsor Terrace,5026,1930s,765,15.22085157
BK,BK40,Windsor Terrace,5026,1940s,226,4.496617589
BK,BK40,Windsor Terrace,5026,1950s,133,2.646239554
BK,BK40,Windsor Terrace,5026,1960s,109,2.168722642
BK,BK40,Windsor Terrace,5026,1970s,17,0.338241146
BK,BK40,Windsor Terrace,5026,1980s,43,0.855551134
BK,BK40,Windsor Terrace,5026,1990s,104,2.069239952
BK,BK40,Windsor Terrace,5026,2000s,127,2.526860326
BK,BK40,Windsor Terrace,5026,2010s,32,0.636689216
BK,BK41,Kensington-Ocean Parkway,5793,1890s,85,1.467288106
BK,BK41,Kensington-Ocean Parkway,5793,1900s,208,3.590540307
BK,BK41,Kensington-Ocean Parkway,5793,1910s,550,9.494217159
BK,BK41,Kensington-Ocean Parkway,5793,1920s,2117,36.54410495
BK,BK41,Kensington-Ocean Parkway,5793,1930s,1409,24.32245814
BK,BK41,Kensington-Ocean Parkway,5793,1940s,509,8.786466425
BK,BK41,Kensington-Ocean Parkway,5793,1950s,190,3.279820473
BK,BK41,Kensington-Ocean Parkway,5793,1960s,167,2.882789574
BK,BK41,Kensington-Ocean Parkway,5793,1970s,62,1.070257207
BK,BK41,Kensington-Ocean Parkway,5793,1980s,62,1.070257207
BK,BK41,Kensington-Ocean Parkway,5793,1990s,200,3.452442603
BK,BK41,Kensington-Ocean Parkway,5793,2000s,75,1.294665976
BK,BK41,Kensington-Ocean Parkway,5793,2010s,30,0.51786639
BK,BK42,Flatbush,10319,1850s,1,0.009690862
BK,BK42,Flatbush,10319,1890s,416,4.031398391
BK,BK42,Flatbush,10319,1900s,646,6.26029654
BK,BK42,Flatbush,10319,1910s,1564,15.15650741
BK,BK42,Flatbush,10319,1920s,3220,31.20457409
BK,BK42,Flatbush,10319,1930s,2476,23.99457312
BK,BK42,Flatbush,10319,1940s,450,4.360887683
BK,BK42,Flatbush,10319,1950s,436,4.225215622
BK,BK42,Flatbush,10319,1960s,259,2.509933133
BK,BK42,Flatbush,10319,1970s,120,1.162903382
BK,BK42,Flatbush,10319,1980s,78,0.755887198
BK,BK42,Flatbush,10319,1990s,106,1.027231321
BK,BK42,Flatbush,10319,2000s,183,1.773427658
BK,BK42,Flatbush,10319,2010s,89,0.862486675
BK,BK43,Midwood,10111,1890s,54,0.534071803
BK,BK43,Midwood,10111,1900s,152,1.503313223
BK,BK43,Midwood,10111,1910s,990,9.791316388
BK,BK43,Midwood,10111,1920s,4766,47.13678172
BK,BK43,Midwood,10111,1930s,2126,21.02660469
BK,BK43,Midwood,10111,1940s,609,6.023143111
BK,BK43,Midwood,10111,1950s,425,4.203342894
BK,BK43,Midwood,10111,1960s,218,2.156067649
BK,BK43,Midwood,10111,1970s,97,0.959351202
BK,BK43,Midwood,10111,1980s,56,0.55385224
BK,BK43,Midwood,10111,1990s,104,1.028582732
BK,BK43,Midwood,10111,2000s,187,1.849470873
BK,BK43,Midwood,10111,2010s,81,0.801107704
BK,BK44,Madison,11535,1890s,1,0.008669267
BK,BK44,Madison,11535,1900s,96,0.832249675
BK,BK44,Madison,11535,1910s,257,2.228001734
BK,BK44,Madison,11535,1920s,4013,34.78977026
BK,BK44,Madison,11535,1930s,3744,32.45773732
BK,BK44,Madison,11535,1940s,1312,11.37407889
BK,BK44,Madison,11535,1950s,1168,10.12570438
BK,BK44,Madison,11535,1960s,377,3.268313827
BK,BK44,Madison,11535,1970s,49,0.424794105
BK,BK44,Madison,11535,1980s,32,0.277416558
BK,BK44,Madison,11535,1990s,48,0.416124837
BK,BK44,Madison,11535,2000s,124,1.074989163
BK,BK44,Madison,11535,2010s,54,0.468140442
BK,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14258,1890s,10,0.070136064
BK,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14258,1900s,12,0.084163277
BK,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14258,1910s,98,0.687333427
BK,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14258,1920s,4018,28.1806705
BK,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14258,1930s,2357,16.53107028
BK,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14258,1940s,969,6.796184598
BK,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14258,1950s,1396,9.790994529
BK,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14258,1960s,3011,21.11796886
BK,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14258,1970s,1118,7.841211951
BK,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14258,1980s,247,1.73236078
BK,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14258,1990s,238,1.669238322
BK,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14258,2000s,501,3.513816805
BK,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,14258,2010s,51,0.357693926
BK,BK46,Ocean Parkway South,8158,1890s,16,0.196126502
BK,BK46,Ocean Parkway South,8158,1900s,28,0.343221378
BK,BK46,Ocean Parkway South,8158,1910s,306,3.750919343
BK,BK46,Ocean Parkway South,8158,1920s,2576,31.57636676
BK,BK46,Ocean Parkway South,8158,1930s,2350,28.80607992
BK,BK46,Ocean Parkway South,8158,1940s,305,3.738661437
BK,BK46,Ocean Parkway South,8158,1950s,500,6.128953175
BK,BK46,Ocean Parkway South,8158,1960s,546,6.692816867
BK,BK46,Ocean Parkway South,8158,1970s,217,2.659965678
BK,BK46,Ocean Parkway South,8158,1980s,116,1.421917137
BK,BK46,Ocean Parkway South,8158,1990s,165,2.022554548
BK,BK46,Ocean Parkway South,8158,2000s,564,6.913459181
BK,BK46,Ocean Parkway South,8158,2010s,105,1.287080167
BK,BK50,Canarsie,15491,1890s,37,0.238848364
BK,BK50,Canarsie,15491,1900s,58,0.374410948
BK,BK50,Canarsie,15491,1910s,349,2.252921051
BK,BK50,Canarsie,15491,1920s,1792,11.56800723
BK,BK50,Canarsie,15491,1930s,1182,7.630236912
BK,BK50,Canarsie,15491,1940s,422,2.724162417
BK,BK50,Canarsie,15491,1950s,2556,16.49990317
BK,BK50,Canarsie,15491,1960s,6105,39.40997999
BK,BK50,Canarsie,15491,1970s,574,3.705377316
BK,BK50,Canarsie,15491,1980s,79,0.509973533
BK,BK50,Canarsie,15491,1990s,227,1.465366987
BK,BK50,Canarsie,15491,2000s,994,6.41662901
BK,BK50,Canarsie,15491,2010s,382,2.46594797
BK,BK58,Flatlands,14420,1890s,29,0.20110957
