borocode,ntacode,ntaname,ntacount,decade_built,decade_count,build_rat
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1800s,3,0.094607379
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1810s,1,0.031535793
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1820s,33,1.040681173
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1830s,43,1.356039104
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1840s,109,3.437401451
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1850s,68,2.144433933
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1860s,20,0.630715863
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1870s,29,0.914538001
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1880s,59,1.860611794
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1890s,226,7.127089246
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1900s,640,20.1829076
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1910s,325,10.24913277
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1920s,434,13.68653422
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1930s,394,12.42510249
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1940s,39,1.229895932
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1950s,61,1.923683381
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1960s,101,3.185115106
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1970s,26,0.819930621
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1980s,40,1.261431725
BK,BK09,Brooklyn Heights-Cobble Hill,3171,1990s,29,0.914538001
BK,BK09,Brooklyn Heights-Cobble Hill,3171,2000s,125,3.941974141
BK,BK09,Brooklyn Heights-Cobble Hill,3171,2010s,127,4.005045727
BK,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15261,1890s,12,0.078631807
BK,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15261,1900s,79,0.517659393
BK,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15261,1910s,136,0.891160474
BK,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15261,1920s,3193,20.9226132
BK,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15261,1930s,3215,21.06677151
