Borough,lotarea_sum,replacement_sum,difference
MN,19663189,15250147.0,4413042.0
BX,23697352,21532641.0,2164711.0
SI,30236754,28308773.0,1927981.0
BK,21799488,20057451.0,1742037.0
QN,81772905,81524810.0,248095.0
