,,bbl,landuse,bldgclass,address,numbldgs,numfloors,footprints_floors,heightroof,floor_height,differential,geom
Do not change,11,1005587503,3,R4,125 EAST 12 STREET,1,5,10.069,100.69,10,5.069,0106000020D7080000010000000103000000010000000900000080C1112DA6222E41000C1747912D09418018B9643F222E4100BA9957A22A0941009BFA5B51222E4100B2FF877A2A094180E99060EC212E4100F429ED982709418030CD3782212E410016DC2A842809418021207DE6212E4100383AB4602B0941009CB05AE6212E410094430E612B094180F642D54D222E41006ED809552E094180C1112DA6222E41000C1747912D0941
Change (14 floors),53,1012340007,3,D4,257 WEST 86 STREET,1,7,14.79,147.9,10,7.79,0106000020D7080000010000000103000000010000000500000000BE76E6693B2E410076CB1E14A90B4100A363D4E63A2E41005288E537AA0B410090F80F4A3B2E4100EA79E207AD0B4180146D3DCD3B2E41000AF4E1E4AB0B4100BE76E6693B2E410076CB1E14A90B41
"Change (10, 9 counted plus penthouse)",73,1015100027,3,D4,157 EAST 81 STREET,1,5,10.407,104.066042,10,5.407,0106000020D7080000010000000103000000010000000800000080956C6C5E662E410006AFCB171D0B4100F720348A662E41004227ACB61C0B4100994B0CB6662E4100F25668551C0B410005DE95BB662E41006A1B1F491C0B4180720C9154662E41002E3CFF62190B41801C2C85F2652E4100B2CD803C1A0B4100AFD28959662E4100F058A1221D0B4180956C6C5E662E410006AFCB171D0B41
Do not change,75,1015160042,3,D4,170 EAST 88 STREET,1,5,11.09,110.9,10,6.09,0106000020D7080000010000000103000000010000000700000080655045D66D2E41000009E83A4A0B418011B9DD706D2E41002AC9ED5D470B41806F0543636D2E41000282217C470B4180E53A580E6D2E41006ECFA938480B41806859F9D86C2E4100DC6527AF480B410064184A3E6D2E410030037B8B4B0B4180655045D66D2E41000009E83A4A0B41
Do not change,79,1016490009,3,D2,213 EAST 99 STREET,1,5,10.462,104.6200868,10,5.462,0106000020D70800000100000001030000000100000005000000806D40CF027D2E41009068A5D0920B41804FAE9FFA7B2E41004AFCBF19950B41005BAD96BF7C2E4100E2C2FFA79A0B4100793FC6C77D2E41002ADBE55E980B41806D40CF027D2E41009068A5D0920B41
Do not change,88,1021350060,3,D4,158-18 RIVERSIDE DRIVE WEST,1,6,13.396,133.96,10,7.396,0106000020D7080000010000000103000000010000007B01000000AAFCD48B7B2E4100D842039BD20D4100903056577B2E410056C7F70FD30D41000D4C4D437B2E4100FED7990BD20D4180C7F234337B2E4100AE11293AD10D418054A075277B2E41005AC4CDA0D00D41804C34141C7B2E41002049310ED00D41007949330F7B2E4100C87CC06ACF0D41004088BC027B2E41005CA19DC9CE0D410045FF8BED7A2E4100543B03B4CD0D41003EE18B8A7A2E410046DA961BCA0D4180469ECF367A2E4100DE05FA10C70D41008425D72A792E4100A063FA65C90D4180ADD02C2C792E41005A941482C90D4100E5A4012D792E41006821DC91C90D418021D1D72D792E41007056A2A1C90D4100632AAF2E792E410074DF67B1C90D4180A9DB872F792E410074102CC1C90D4180F50F6230792E41006EE9EED0C90D418046713D31792E41006616B1E0C90D41009C2A1A32792E4100563F71F0C90D4180F73BF832792E410044BC3000CA0D410058A5D733792E41002CE1EE0FCA0D4180BC3BB834792E4100125AAC1FCA0D418027559A35792E4100F27A682FCA0D418097C67D36792E4100CE43233FCA0D41800C906237792E4100A4B4DC4ECA0D418086864838792E410076CD945ECA0D410006003039792E4100443A4C6ECA0D41008AA6183A792E41000C4F027ECA0D410013A5023B792E4100D00BB78DCA0D4100A2FBED3B792E410090706A9DCA0D418035AADA3C792E41004A7D1CADCA0D4180CD85C83D792E4100FE31CDBCCA0D41006CE4B73E792E4100B03A7DCCCA0D41000F9BA83F792E41005CEB2BDCCA0D4100B77E9A40792E41000098D8EBCA0D410064BA8D41792E4100A29884FBCA0D4180164E8242792E410040412F0BCB0D4180CD397843792E4100D891D81ACB0D41808A7D6F44792E41006A8A802ACB0D41804BEE6745792E4100F82A273ACB0D418012E26146792E41008073CC49CB0D4100DE025D47792E410006107159CB0D4180AFA65948792E410084A81369CB0D4100854C5749792E4100FE94B578CB0D410061A0564A792E410070D15488CB0D418040F6564B792E4100E00DF497CB0D410026CF584C792E4100484691A7CB0D4180BF914F4E792E4100B2D6B0C6CB0D41003A6F3E50792E4100A67EB1E5CB0D418005903951792E41008C1E2DF5CB0D4180DA0A3752792E41006CBAA604CC0D4180B80A3753792E410042521E14CC0D4100A18F3954792E4100103A9323CC0D4100926E3E55792E4100D2710533CC0D41008DD24556792E41008AF97442CC0D410092BB4F57792E410038D1E151CC0D4180B7C66A59792E4100781CB470CC0D410002658F5B792E41008AFB7A8FCC0D41803566A55C792E41000463DA9ECC0D410073ECBD5D792E4100741A37AECC0D41800A5DF65F792E410030CDE7CCCC0D4100C6353862792E4100C2138DEBCC0D418032FF5C63792E4100FAAEDBFACC0D4100A8F78364792E41002442260ACD0D418027A0AD65792E41004A297019CD0D4180AF77D966792E41005E5CB528CD0D418041D40768792E410068DFF737CD0D4180DDE03869792E410066063747CD0D4180821C6C6A792E41005C297456CD0D41802F87A16B792E41004044AD65CD0D4100E7A1D96C792E41001CAFE374CD0D4180A716146E792E4100EC691784CD0D418071E5506F792E4100AE1C4793CD0D418021E7D171792E410012729EB1CD0D4180F67B5C74792E41004057E8CFCD0D4100F1CEF076792E41003E7825EECD0D4100108A8E79792E41000829550CCE0D41005503367C792E4100A215782ACE0D4180855C8D7D792E4100D67F8339CE0D4180BEE4E67E792E410004E68C48CE0D4180011D4380792E41001E989157CE0D41804C59A181792E41002CEE9266CE0D4180A11A0283792E410032409275CE0D4180008C6584792E410026DE8C84CE0D4100682CCB85792E41000A748393CE0D4100D9263387792E4100E45977A2CE0D410052509D88792E4100B0E367B1CE0D4180D5290A8A792E41006E6554C0CE0D41806132798B792E41001E8B3DCFCE0D4180F7BFEA8C792E4100C0A822DECE0D4180957C5E8E792E410050BE03EDCE0D41803DBED48F792E4100D823E2FBCE0D4100EE2E4D91792E41004CD5BB0ACF0D4180A824C892792E4100B42A9219CF0D41006B494594792E41000C786428CF0D418037F3C495792E410058153437CF0D41800CF74697792E410094FEFE45CF0D4180EA29CB98792E4100C0DFC554CF0D4180D2E1519A792E4100DE648963CF0D4180C2C8DA9B792E4100EA354872CF0D4180BB09669D792E4100EAAA0381CF0D4180BECFF39E792E4100DA17BB8FCF0D4100CAC483A0792E4100BE286F9ECF0D4180DE1316A2792E41008E851EADCF0D4180521DDBA6792E4100A61715D9CF0D41008BA976A8792E41003854B4E7CF0D4100CC8F14AA792E4100BC3450F6CF0D418017FBB4AB792E41002EB5E604D00D41006B9557AD792E410094857A13D00D4100C75EFCAE792E4100E8A10922D00D41802CADA3B0792E41002A0A9430D00D41809B554DB2792E41005C6A1A3FD00D41001202F9B3792E41007EC29C4DD00D41809233A7B5792E410090121B5CD00D41001CBF57B7792E410092AE946AD00D4100AE790AB9792E410082420A79D00D4180ECD176BC792E410032FAE795D00D4100996F30BE792E4100EE1D50A4D00D41004E3CECBF792E41009C39B4B2D00D41000D8EAAC1792E41003A4D14C1D00D4180D3E36AC3792E4100C4006FCFD00D4100A3932DC5792E41003CACC5DDD00D41005E01BAC8792E4100FC9265FAD00D4100489483CA792E410042CEAE08D10D418036721DCE792E410096283325D10D41003BBDEDCF792E4100A8F36E33D10D41804862C0D1792E4100A80AA641D10D41805E3695D3792E410092C1D74FD10D41807D646CD5792E41006C70055ED10D4180A4C145D7792E4100366B2E6CD10D4180D44D21D9792E4100ECB1527AD10D41800D34FFDA792E41008E987188D10D41804F74DFDC792E41001ECB8B96D10D418099B8C1DE792E41009EF5A1A4D10D4180EC56A6E0792E410008C0B2B2D10D410048248DE2792E410062D6BEC0D10D4180AB2076E4792E4100A838C6CED10D4180187761E6792E4100DEE6C8DCD10D41808DD14EE8792E4100FE34C6EAD10D41000B863EEA792E41000E7BBFF8D10D410021A724EE792E4100F0E6A114D20D4100B8E81AF0792E4100C4B88B22D20D4180588413F2792E410086D67030D20D4180B2480BF6792E4100CE9D2B4CD20D41006C710AF8792E41005647015AD20D41002EC90BFA792E4100CA3CD267D20D4180F84F0FFC792E41002AD29D75D20D4180CB0515FE792E410074076483D20D41808B2927027A2E4100CEFDE09ED20D4100786C33047A2E4100DCBE97ACD20D41006A7F52087A2E4100BECCF5C7D20D41806F4F650A7A2E410094C59DD5D20D41807D4E7A0C7A2E410050063FE3D20D4180947C910E7A2E4100FA92DBF0D20D4180B2AEAA107A2E4100906B73FED20D4100DA3AC6127A2E41001038050CD30D418009CBE3147A2E410078F89019D30D410082A325197A2E4100145D9A34D30D4180CAC0491B7A2E410040A91642D30D41001BE26F1D7A2E410058958D4FD30D4180D486C2217A2E41004A4D6B6AD30D41803D0AEF237A2E4100206DD177D30D4100B0E71D267A2E4100E4D83285D30D41002AC94E287A2E4100908C8D92D30D4180ABAE812A7A2E41002A38E49FD30D410036C3B62C7A2E4100AA7F33ADD30D4100C8DBED2E7A2E410018BF7EBAD30D4100647927317A2E41006E46C3C7D30D4180059A62337A2E4100AE6D02D5D30D4100B13FA0357A2E4100D8343CE2D30D41801E6C213A7A2E4100EC4A9EFCD30D4100E248653C7A2E4100D499C609D40D4100AD29AB3E7A2E4100A4DCE816D40D4100800EF3407A2E410060BF0524D40D41805B223D437A2E410006421D31D40D41803E0F89457A2E4100940C2E3ED40D41801DA1274A7A2E41006E813F58D40D410019F0794C7A2E4100B8D33E65D40D41001D6ECE4E7A2E4100EA193872D40D418028F024517A2E410006002C7FD40D41003B4B7D537A2E41000CDA198CD40D418056D5D7557A2E4100FAA70199D40D41007A8E34587A2E4100D069E3A5D40D4180A420935A7A2E410092CBBFB2D40D4100D8E1F35C7A2E41003C7595BFD40D4180127C565F7A2E4100CC1265CCD40D41005670BB617A2E410044A42ED9D40D4100A01222647A2E4100A629F2E5D40D4100F2E38A667A2E4100F2A2AFF2D40D41804CB9F5687A2E4100241067FFD40D4180AE92626B7A2E41004071180CD50D41801870D16D7A2E4100421AC318D50D41008A5142707A2E41002E636825D50D41800337B5727A2E410002F40632D50D41000DE3A0777A2E41005E45314BD50D41809DD4197A7A2E4100E805BD57D50D4180359F947C7A2E41005ABA4264D50D41807D6B90817A2E4100F4A63A7DD50D41002D4211847A2E41001E8BAD89D50D4100A2A518897A2E410026D77FA2D50D4100685D9F8B7A2E4100063FDFAED50D41803644288E7A2E4100CAEE37BBD50D41000BAEB2907A2E410078928AC7D50D4180E8713F937A2E41000A7ED6D3D50D4180CCE3CD957A2E410084B11BE0D50D4100B9845E987A2E4100E8845BECD50D4180ACFEF09A7A2E410030F493F8D50D4100A751859D7A2E41005CABC504D60D4100AAA81BA07A2E41007456F110D60D4100B403B4A27A2E41006E9D151DD60D4180C4E14DA57A2E410052843429D60D4180DD19EAA77A2E41001A074C35D60D4100FE2A88AA7A2E4100C8D15C41D60D4180251528AD7A2E41005CE4664DD60D41005503CAAF7A2E4100DAEA6A59D60D41008B9F6DB27A2E41003A8D6765D60D4180C83F13B57A2E410084235E71D60D41000EE4BAB77A2E4100B2014E7DD60D41005B6164BA7A2E4100C47B3689D60D4100AE8C0FBD7A2E4100BC3D1895D60D418009E7BCBF7A2E41009C47F3A0D60D41806BEF6BC27A2E41006099C7ACD60D4100D5D01CC57A2E41000A3395B8D60D410046B6CFC77A2E41009A145CC4D60D4100BE7484CA7A2E41000E921BD0D60D41803D0C3BCD7A2E41006A03D5DBD60D4100C351F3CF7A2E4100AA1087E7D60D418051C6ADD27A2E4100CEB931F3D60D4180E5BD69D57A2E4100DA56D6FED60D410082E427D87A2E4100C88F730AD70D418025B9E7DA7A2E41009C640916D70D4180CF66A9DD7A2E410054819821D70D410080C26CE07A2E4100F691212DD70D4180382232E37A2E41007892A238D70D4180F85AF9E57A2E4100DC2E1C44D70D4100BF6CC2E87A2E41002ABF8F4FD70D41008C018DEB7A2E41005CEBFB5AD70D41805F6F59EE7A2E410070B36066D70D41003C0C28F17A2E41006A17BE71D70D41801E57F8F37A2E41004A6F157DD70D41000850CAF67A2E4100080B6488D70D4100F8F69DF97A2E4100B446AD93D70D4180EFA173FC7A2E41003CC6ED9ED70D4100EE254BFF7A2E4100AA8D27AAD70D4180F22C24027B2E4100FE9C5AB5D70D4180FE0CFF047B2E4100349C85C0D70D410011C6DB077B2E4100528FAACBD70D41002B58BA0A7B2E41004EC6C6D6D70D41804B989A0D7B2E410032F1DCE1D70D418072867C107B2E4100F80BEBECD70D4100A14D60137B2E4100A0C2F1F7D70D4100D6ED45167B2E41002E15F102D80D418011112D197B2E4100A0AFE90DD80D4180530D161C7B2E4100F239DA18D80D41809CB7001F7B2E41002C0CC423D80D41004241DB247B2E4100422C8039D80D410003D9BC2A7B2E4100E8BB1E4FD80D41006E3FB02D7B2E410090EDE259D80D4100DE28A5307B2E41001ABB9F64D80D410056EB9B337B2E41008824556FD80D4100D45B94367B2E4100D87D027AD80D4180E3468A3C7B2E410022B0478FD80D410075C1873F7B2E41001A31DE99D80D41800DEA86427B2E4100F44D6DA4D80D4180ACEB87457B2E4100AE5AF4AED80D410051458A487B2E4100525B75B9D80D4180FC778E4B7B2E4100D2F3ECC3D80D4180AE58944E7B2E410036D45DCED80D418066BC9B517B2E41008050C7D8D80D418025F9A4547B2E4100A61028E3D80D4180EAB8AF577B2E4100B21882EDD80D4100B626BC5A7B2E4100A010D4F7D80D41008842CA5D7B2E41006EF81D02D90D41805FE1D9607B2E41001ED05F0CD90D41803E59EB637B2E4100B0439A16D90D418085B117677B2E4100287A8B20D90D41006E7FE9697B2E410054786029D90D41803F22E7817B2E410016678774D90D4100903AF3807B2E4100409BCA5CD90D410023A452807B2E4100CCB22A4DD90D4100796EA27F7B2E410060B4FF3BD90D4180D20FF37E7B2E41005AEAEE2AD90D41003B8E477E7B2E4100D8E9421AD90D418027F77B7D7B2E410030A17206D90D4180ED76A67C7B2E4100CEC0ABF1D80D41003D93F47B7B2E4100C81D59E0D80D41805568347B7B2E410066B5A3CDD80D41807BC4777A7B2E41006C064BBBD80D410024B9DC797B2E4100A6B7F7A7D80D41802B5F5A797B2E4100C638B797D80D4100DC82C1787B2E410018CFAB84D80D4100659660787B2E41004AF49278D80D4180CFC4F7777B2E4100C8D9846BD80D41808C1962777B2E41009E39DE58D80D418020D9C1767B2E410030E0DA44D80D4100B77364767B2E4100C045B734D80D418068F10D767B2E4100B847B725D80D4100F22FAD757B2E4100C4B6ED14D80D418091F951757B2E41008E691B05D80D41005129FF747B2E41001A16C6F6D70D4100B88095747B2E4100281770E4D70D4100F0C361747B2E410090E07EDBD70D4100C3FD13747B2E410050E0FDCDD70D41801E7EE9737B2E4100285A0FC2D70D41006ECDBB737B2E410078AC37B5D70D41004CE270737B2E4100B46A15A0D70D410016C220737B2E41005A9B8189D70D4180DE4BD0727B2E4100C2ABDD72D70D41805DAF6C727B2E4100504BD656D70D41006F092F727B2E410030B88928D70D4100B4D3FE717B2E4100DC874404D70D4180F6C6CD717B2E4100B46586DFD60D418040EDE0717B2E410062F878C9D60D41807AE0EF717B2E41002E165CB8D60D4180AFA6FD717B2E4100A09C73A8D60D4100E0140A727B2E410020ED1A9AD60D4180150618727B2E4100D00E008AD60D4100514F27727B2E410076665578D60D4180876B35727B2E41000A243368D60D410053FF69727B2E410096FA4757D60D410018E59C727B2E4100F216D546D60D4100C066C8727B2E4100C014D338D60D41006511F3727B2E4100607F072BD60D418011951F737B2E4100EA7FB11CD60D4180ACBA47737B2E4100D849C00FD60D418073217B737B2E4100BAD12DFFD50D41001E24A7737B2E4100C2BEF8F0D50D410001F323747B2E410022948CD9D50D41806E8582747B2E410082C7CFC7D50D4180AF80D5747B2E41003A9F3AB8D50D418000842C757B2E410012FCE7A7D50D418033F87B757B2E41006E320299D50D418068C2CB757B2E410078E8068AD50D4180B21721767B2E41009AEE087AD50D418063F790767B2E410042A1366BD50D410065AB15777B2E410048D5A459D50D418032EF8C777B2E41001EE4D549D50D41800B3907787B2E41007E31A639D50D4180B56A75787B2E410004010D2BD50D4180D50302797B2E4100E8BC6918D50D418038EA9F797B2E4100124C8503D50D4100A0CEFC797B2E4100780B0FFAD40D4100E223927A7B2E4100A2F8D9EAD40D4100234E277B7B2E4100E2F1AADBD40D41808D38C77B7B2E4100EA6664CBD40D4100CB605B7C7B2E410096EC50BCD40D41801E6AF57C7B2E4100F093A3ACD40D41003084027E7B2E4100F6793F91D40D410057F6907E7B2E41006C5EB07CD40D41808F20667F7B2E41004ECFE65DD40D41004FB2D97F7B2E4100BEC6364DD40D4100F9E347807B2E41002099493DD40D410097E4B2807B2E41005C61D72DD40D4100539F25817B2E410046ED461DD40D4180F47691817B2E4100167DB80DD40D41809277FC817B2E410048E942FED30D41004F5D6F827B2E41001C15ADEDD30D4180DEABD6827B2E41006697C2DED30D4100835A43837B2E4100B83A13CFD30D41804217B7837B2E4100F81957BED30D4180DFC121847B2E4100840AF9AED30D410066B686847B2E41000E3261A0D30D418037FCFE847B2E4100C0BEFB8ED30D4180CB7767857B2E41007448EA7FD30D41808E0BDC857B2E410050F3136FD30D410024DD44867B2E4100CC60F45FD30D4100CDB8B2867B2E410062A31450D30D41006FBB1E877B2E4100F4127640D30D418022478F877B2E410020F03830D30D4180B16AF6877B2E410088D65521D30D4100609E65887B2E41006C684811D30D41800DA7D4887B2E41005AFE3C01D30D4180B55742897B2E4100064D63F1D20D41005E08B0897B2E4100D0FF90E1D20D4100000B1C8A7B2E4100842BFBD1D20D418047E3B28A7B2E4100324330BCD20D41806CA5FE8A7B2E4100B0F186B3D20D4100AAFCD48B7B2E4100D842039BD20D41
Do not change,90,1021700368,2,C1,49 WADSWORTH TERRACE,1,5,10.377,103.77,10,5.377,0106000020D7080000010000000103000000010000000500000000F808D4B89D2E41005CADCE3DAB0E41006540E9549D2E4100AC444174A80E41802FDD14869C2E41005C510D14AA0E4100D3EE4EEB9C2E4100E28F5D05AD0E4100F808D4B89D2E41005CADCE3DAB0E41
Do not change,104,3001470002,3,D5,365 JAY STREET,1,6,12.73,127.2960067,10,6.73,0106000020D70800000100000001030000000100000005000000809FAC0A2F262E4100FC1DD2C76507418056A49B2B262E41002C464D4864074180F888EA52252E41007658597564074100F5BE4556252E4100AE7E2FEC650741809FAC0A2F262E4100FC1DD2C7650741
Do not change,113,3021190001,3,D1,313 CUMBERLAND STREET,1,6,12.417,124.17,10,6.417,0106000020D7080000010000000103000000010000000600000000FACC0C61452E41004C5A7E4B1C0741807A51F127462E4100C6329DC51C0741805AA5BDF0462E4100C8B7E7401D074100B2DA840D472E41002805884E1A0741005102D47D452E4100AEA71E5919074100FACC0C61452E41004C5A7E4B1C0741
Do not change,117,3025760042,3,D1,308 ECKFORD STREET,1,6,13.583,135.832524,10,7.583,0106000020D7080000010000000103000000010000000800000080092A252F722E410088E5DCEA0909418010A51676712E4100A47163AA08094180B8297D12712E410046129A3F0C094180FDE3A296712E4100ACFB72240D0941804F2032F9712E410006EC20CF0D094100619F1D0D722E41004A76AF170D094180C35877DF712E41007210A2C80C094180092A252F722E410088E5DCEA090941
