,bbl,landuse,bldgclass,address,numbldgs,numfloors,footprints_floors,heightroof,floor_height,differential,geom
34,1008300037,05,H1,250 5 AVENUE,1,23.0,7.918,95.02,12,15.082,0106000020D7080000010000000103000000010000000900000000848D3263242E4100761A21B8BA094180F2E98B6A242E41007E8FDAA7BA094180F2E17050242E4100004D02EAB9094180492AA93D242E41009E907061B90941807408E4F2242E4100DE171AD0B70941803C1BBFBA242E4100FCA16F3DB6094180D2C3ACB0232E41009AC1A58AB809410069EC1C15242E41007A2F0C65BB094100848D3263242E4100761A21B8BA0941
38,1008737501,02,R1,57 IRVING PLACE,1,11.0,3.888,46.65,12,7.112,0106000020D708000001000000010300000001000000060000008073BAC02B252E4100F407587C55094100A4C743F5242E41007458E7FC5309418011FC913C242E41007C09B09955094100BCFCFD4B242E4100BCF557075609418078856F72242E41005633B3185709418073BAC02B252E4100F407587C550941
39,1008810006,08,Y4,60 LEXINGTON AVENUE,1,5.0,10.128,121.54,12,5.128,0106000020D7080000010000000103000000010000000700000000893BFD0D2A2E4100E08B7FD98E094180420FD86E2A2E41002298889691094100092CFFA22A2E4100642A4A229109410040B80B062B2E41002E583AEF9309410027023E1B2D2E41006E4C92518F0941007DC668572C2E4100742422C889094100893BFD0D2A2E4100E08B7FD98E0941
41,1009290038,08,H8,340 EAST 24 STREET,1,14.0,6.983,83.79,12,7.017,0106000020D7080000010000000103000000010000000900000080041C704F382E4100920078E161094100EEF5A9CD372E41009A1F9AFF620941801F66899A372E4100C287557063094100933AB175372E410094B65B67620941005383DC97362E4100F2B2795064094100221A19FC362E4100F413592167094180318C0E0D382E4100760781C7640941004787D48E382E41006EE85EA963094180041C704F382E4100920078E1610941
46,1010140001,04,K4,660 8 AVENUE,1,6.0,16.14,193.681634,12,10.14,0106000020D7080000010000000103000000010000000700000000D59E0DA6212E4100BA8A4D6D440A4180F16EC6A7222E4100B2F28630420A4100C69E3C31232E4100BCC406FF400A4100630C02CA222E4100BC795A063E0A4180B935290E202E4100626FBA19440A41001CC86375202E41005E0E6612470A4100D59E0DA6212E4100BA8A4D6D440A41
47,1010277503,05,RC,1731 BROADWAY,1,26.0,53.728,644.74,12,27.728,0106000020D7080000010000000103000000010000000800000000B9C560722E2E4100D2CE39789D0A41005D9F3ED42E2E4100F8630846A00A41009C2B0B372F2E41009A53AF1AA30A41808D5D081C302E410098F88B26A10A410003EECF11302E41008A88ED1FA00A418032130D10302E4100801CE21EA00A4180312CBEB22F2E41007E386BB39A0A4100B9C560722E2E4100D2CE39789D0A41
50,1011427501,03,R4,135 WEST 70 STREET,1,7.0,14.341,172.09,12,7.341,0106000020D7080000010000000103000000010000000700000000481814E5322E4100CA6FD176240B41806E393C07332E410052787B2B240B4180CA02A327332E4100DAEB05E4230B4180B7374CC2322E4100E47B7414210B4180989016FE312E41001C7361C3220B4100FC11B361322E4100D6CC9298250B4100481814E5322E4100CA6FD176240B41
56,1012440046,08,W3,431 WEST END AVENUE,1,5.0,12.063,144.75,12,7.063,0106000020D708000001000000010300000001000000080000008027A0A178332E4100867E6B6C840B4100D6BD5416332E4100989C0845850B41002ECA6AC2322E4100E247EAFD850B41801C535CE7322E410096090707870B4100ED07B90A332E4100288E99B8860B4100DCD0214D332E4100F6712A95880B4180F891B6DF332E410084EC2750870B418027A0A178332E4100867E6B6C840B41
57,1012497501,02,R1,355 WEST 87 STREET,1,15.0,5.612,67.34,12,9.388,0106000020D70800000100000001030000000100000006000000006B2BF0D9372E4100AE72A625BE0B4180E0F3D5F1372E410072BF1EF1BD0B4180E3D56A89372E4100B81342F8BA0B41003CE55A66372E4100E62D5445BB0B41003A2EC6CE372E4100A285313EBE0B41006B2BF0D9372E4100AE72A625BE0B41
58,1012610054,03,H6,30 WEST 46 STREET,1,21.0,7.311,87.73445161,12,13.689,0106000020D7080000010000000103000000010000000A0000008013F9A7BE332E4100C23414E03B0A41002FE07F5D332E4100AC5D5022390A410067E7EB3A332E41005E37426F390A4100F13F561D332E410014DA17B1390A4100AEA05B18332E4100F4AC2CBC390A4100F0FD87F5322E4100CA4CAC093A0A410005B0BC56332E4100749754C73C0A4180918E8379332E41000A84F0793C0A41804B00149C332E4100740E062D3C0A418013F9A7BE332E4100C23414E03B0A41
66,1013730160,05,H2,22 NORTH LOOP ROAD,1,19.0,6.667,80.0,12,12.333,0106000020D7080000010000000103000000010000000C000000006D14141E6A2E4100F48B05D0350A418049DFA1FA692E410056E29F3C320A4100BAC995E6692E4100DED29737320A410080E09FD2692E41007C239532320A418062CEACDC692E4100A6C32036330A4100EB1EE9C8692E4100063F5F42330A4100FB5C437F692E41005E8B8325330A4100F84A6583692E41004C483E90330A4100526CDA23692E410076C3CE6A330A4100D227BB51692E410062C39B0B380A4180E915B46E692E4100D8B991BA370A41006D14141E6A2E4100F48B05D0350A41
67,1013770071,03,D8,815 5 AVENUE,1,15.0,6.418,77.01586746,12,8.582,0106000020D70800000100000001030000000100000005000000804F46E882482E41000C63F3DAAB0A41808BAE9A68482E41003AD4F41AAB0A4100472173B6472E4100106CDAA5AC0A41000A8EC0D0472E4100DE4ED865AD0A41804F46E882482E41000C63F3DAAB0A41
68,1013890050,08,P7,945 MADISON AVENUE,1,5.0,10.458,125.49,12,5.458,0106000020D7080000010000000103000000010000000800000000D73E6C5A582E41009EC73657FC0A41007E4BC1F4572E4100FC96197CF90A418057E008C9572E410068F222DDF90A4100F2EFE5C7572E4100CC46F7D4F90A4100CB842D9C572E41003AA20036FA0A41001FD03411572E4100BCC77C6AFB0A4180DF340378572E4100F29FC34DFE0A4100D73E6C5A582E41009EC73657FC0A41
69,1014010001,08,Y4,643 PARK AVENUE,1,5.0,10.063,120.76,12,5.063,0106000020D708000001000000010300000001000000050000000007A2B4E0552E41005233D17CB50A410035EEB711552E410066D03EAAAF0A4100D02BA845522E41009A1C4CDDB50A4180A20AA514532E4100867FDEAFBB0A410007A2B4E0552E41005233D17CB50A41
70,1014350016,05,K9,325 EAST 60 STREET,1,5.0,14.585,175.02,12,9.585,0106000020D7080000010000000103000000010000000A0000000035AC361A5C2E4100AAFA55B56F0A4100A1D142B55B2E4100BE3A9CE06C0A4180DB90C6505B2E4100D0DB3D0F6A0A41806F9C28735A2E41005E2482FB6B0A410035DDA4D75A2E41004C83E0CC6E0A41806CCCC7E15A2E41002E285CB66E0A41802648330F5B2E4100DA1979516E0A418063720B3E5B2E410048B76BE96D0A4180F74CFFA25B2E41002E1F24BE700A410035AC361A5C2E4100AAFA55B56F0A41
72,1014497502,04,RM,339 EAST 74 STREET,1,25.0,10.53,126.36,12,14.47,0106000020D7080000010000000103000000010000000800000080DFF1FCC3692E4100CAE7C2A7D50A4100D00E1A5D692E4100ACB0A1C0D20A4180430972B0692E41008C71CB07D20A41003918B34D692E41002206923ECF0A4180DFDE35A1682E4100E87B90BDD00A41801AD4E107692E4100124927A3D30A4100E2A6D16A692E4100D275C16DD60A4180DFF1FCC3692E4100CAE7C2A7D50A41
79,1018300019,08,W1,203 WEST 114 STREET,1,5.5,15.092,181.1,12,9.592,0106000020D7080000010000000103000000010000000700000000EDFE30C86D2E410042BFDC84490C4180429D79636D2E4100D2A073AE460C418034EA6EFF6C2E41003C95E9DC430C410039F16D726B2E4100F253824F470C41800BEC71D76B2E4100BAC213284A0C4180AD5EDC3A6C2E4100DCC81AF54C0C4100EDFE30C86D2E410042BFDC84490C41
82,1018630010,03,D3,149 WEST 108 STREET,1,11.0,4.867,58.4,12,6.133,0106000020D70800000100000001030000000100000007000000002433A438582E410048D09D893D0C41007BAEE463582E41000A49A9293D0C41807196DB90582E410016D3E7C53C0C410053963F2B582E4100D0AB4FF0390C41008778BDA7572E41009E6012143B0C4180A578590D582E4100E02FA9E93D0C41002433A438582E410048D09D893D0C41
83,1019300044,08,W6,230 WEST 125 STREET,1,5.0,10.84,130.08,12,5.84,0106000020D70800000100000001030000000100000008000000009BC03BB5762E41008E9AD7A4940C41003BD1A1EE752E4100B49577058F0C410021A5CED2742E41002A1DE478910C41005EB4DC35752E4100AEE2CA46940C418004118E64752E4100547F92DF930C4180E95F90B9752E41004414A623930C41000FC11C1D762E41009CFF1FF5950C41009BC03BB5762E41008E9AD7A4940C41
85,1019670045,05,O6,461 WEST 126 STREET,1,11.0,5.071,60.85,12,5.929,0106000020D7080000010000000103000000010000000C000000804DC5A3DF6A2E410014C40BCBC90C4100551877D26A2E41006805A996C90C41004E3D31A46A2E410090330D18C90C4100746BBD446B2E41008A1C95B2C70C41003246F5E56B2E4100BCB39E4BC60C41805C0AD1846B2E410006F6BB7FC30C4100021ACAA16A2E4100B8AD3879C50C41000821B6806A2E41001E4C8DCCC50C41002FF2BFEF692E41004A8E9131C90C4100B8922D6B6A2E41004C4C5A6BCA0C4100CB2EFC736A2E410046613FBCCA0C41804DC5A3DF6A2E410014C40BCBC90C41
86,1021230086,05,H3,514 WEST 168 STREET,1,11.0,4.808,57.69188643,12,6.192,0106000020D7080000010000000103000000010000000500000000ED8116FC8F2E410068A75988F30D418079AC259E8F2E41006CE3F5DCF00D41803AB7FA468F2E4100262F289CF10D4100AE8CEBA48F2E410022F38B47F40D4100ED8116FC8F2E410068A75988F30D41
87,1021560083,08,W7,2540 AMSTERDAM AVENUE,1,5.0,10.858,130.29043526,12,5.858,0106000020D7080000010000000103000000010000000A00000000115E52C1A22E41003CF9BCA2740E41003C29142BA32E41009A4A179E770E418078C75AA8A22E4100AC914DBE780E418014B93525A22E4100525C70DF790E4180BFA468F8A12E41007C3237427A0E4180B1EEE416A22E4100D6D9431E7B0E418072AD335FA22E4100F65825287D0E4100603C8542A42E410048628FFE780E418084E9F871A32E41006A92451D730E4100115E52C1A22E41003CF9BCA2740E41
88,2022740023,08,W1,519 ST ANNS AVENUE,1,4.0,10.772,129.26531443,12,6.772,0106000020D7080000010000000103000000010000000600000000AD500EF4C22E4100F4BAF83BC10C41005B4BA645C32E4100A07BB429C40C4100D063A295C32E4100004BA108C70C4180B47D9379C42E41008810EA78C50C4100461D2ED8C32E4100F482EDADBF0C4100AD500EF4C22E4100F4BAF83BC10C41
91,2029390093,08,W1,1619 CROTONA PARK EAST,1,5.0,10.842,130.10534246,12,5.842,0106000020D7080000010000000103000000010000001500000080C49C215FF62E41000C9BE6ABCB0D41808CCE9C26F72E4100C4E4185AC70D4100130E4BBDF62E41001E634978C60D41802F444D87F62E41004A003C12C60D4180142CE73EF62E41002CB96596C50D41007D848F03F62E4100AC3BF638C50D4100020822BDF52E410036C25DD6C40D4100E771A881F52E41006C06FB8BC40D4100AE822C3FF52E4100C213FD44C40D410027757707F52E4100A2DE0912C40D41801DB414E5F42E410060CBDB01C70D4180457EE713F52E41006CE0BC14C70D410049981E0BF52E4100D2532CBFC70D418027E3ADFEF42E41007C05EFFAC80D4100E725CCCEF42E4100080DD551CC0D410004D3260EF52E4100F8A82799CC0D418057947433F52E4100E45380CACC0D4100E88F8A5FF52E4100A638CC0ACD0D4100A64F2E9BF52E4100FA297670CD0D41803C4B1CF0F52E4100F81E3E67CA0D4180C49C215FF62E41000C9BE6ABCB0D41
96,2042260075,08,Y2,350 MARCONI STREET,1,10.0,20.446,245.35136023,12,10.446,0106000020D7080000010000000103000000010000001E00000080C195DD866D2F410046ABD0CA910E41802E71448D6A2F410060918221980E4180FF4581606A2F4100609AE280980E4100A737B6DC682F410016AF22BB9B0E418030501DE9672F4100201F27C29D0E41000F1F9F36682F41004CBB93979F0E41801E34FF39682F41000CBB3D8F9F0E4100A21F247F682F4100F8E8EAE4A00E4100BAF829BC682F41009898D4F7A10E41805E226F13692F4100FE54CA61A30E4180198FBE4C692F410006CDE93AA40E4180F95B9385692F4100C82CFBF5A40E418037939CB2692F4100247A5470A50E418019689FE1692F4100C8C12AE8A50E41801477C89D6A2F41001CEF318AA70E418028ABDEAA6B2F4100329A527DA90E41005FF057BF6B2F4100BE9B2110A90E418083689F6E6C2F4100DCF0E6ABAA0E4180E023F1FE6C2F41001AC1495AAA0E4180CEDFF2DC6D2F41001C5636D6A90E41806A26862E6E2F4100FCDA705CA90E41806AA9B7806E2F4100A24BC8AAA80E41801BAF95DA6E2F41007486D283A70E4180AF5C45116F2F4100B251A671A60E4180B951C2366F2F41007EB34564A50E41805C7AED4D6F2F41002811E138A40E4100734227546F2F41009634B406A30E4100CE8EE2506F2F41008A684142A20E410085B4688D6E2F4100F8232A3B9B0E4180C195DD866D2F410046ABD0CA910E41
99,3001270001,08,Z3,291 CADMAN PLAZA EAST,1,7.0,14.735,176.82200273,12,7.735,0106000020D7080000010000000103000000010000000600000000B24B8624212E4100DA8797A78A0741003648D80B212E4100246CB02A800741002E4F52321F2E4100742F988880074180E721E84D1F2E410032E51BAD8A074180EDE7E9DE1F2E410062EECDD78A074100B24B8624212E4100DA8797A78A0741
