"bbl","irrlotcode","lotarea","lotfront","lotdepth","front_depth_product","pluto_shape_area","geom"
"5007940094.0","N",17014,"94","181","17014","13615.6920188146","0106000020D7080000010000000103000000010000000C000000002BB836BDCF2C410016AD01467F034100BCFD58B5CF2C410016C824027E034100ECDD61EACF2C41003AD126DB7D03410036EAE7E8CF2C41002EE51CA97C034180D8F02C03D02C4100A6AFAA887C034180842AC9F9CF2C41006ED8095679034100DE93B57ACF2C4100264A00797A034180A0586A4DCF2C410064A7B5E07A03410053E3066ACF2C4100B4D4426F7F0341802D800072CF2C41001C639FB7800341807CE30CC5CF2C41006625A888800341002BB836BDCF2C410016AD01467F0341"
"1002430056.0","N",71655,"436.33","140","61086.2","72817.907115209","0106000020D7080000010000000103000000010000000900000080C4C30C6E322E4100D0C67FA1350841005C1F58142F2E41002A9AD460340841800959C9052F2E41005443FBBE360841807007B8DE2D2E41008404AA5036084180496D7FD12D2E41004606247738084100FEC3B552322E410062724B263A084180564DFB5F322E41004620A9FD37084100AA6F8C5F322E4100EA164FFD37084180C4C30C6E322E4100D0C67FA1350841"
"1005210045.0","N",18435,"205.9","100","20590","20239.1624150724","0106000020D7080000010000000103000000010000000C000000009104AC72172E41002C032479D7084100B8519D17182E4100C2B4ED90D608410061795397172E410040C8BA5BD0084180C449E75D162E4100B0DC15A7D2084180394B2862162E41005829EAD9D20841802F3AEA02172E4100BA4D98F7D10841805F36402A172E41002AC09ACDD3084180C435413E172E4100E4FC9DBCD40841007145B118172E41007CB97FF1D408418036DB133D172E410076FB3CA4D6084100BD85AA52172E4100827133A6D70841009104AC72172E41002C032479D70841"
"1005770030.0","N",18070,"50","206.5","10325","19265.3355482017","0106000020D708000001000000010300000001000000090000008008E305E2142E4100A65582B15509410004160377142E4100FCAA24A152094180139BDD9F142E4100EA722D4752094100CCD2B239142E41007259455A4F094100E14F785C132E41001E03BA43510941000E4F29C4132E41005E00BF3554094180D385CA1D142E4100A24C5870530941007D12AD87142E410064CF76785609418008E305E2142E4100A65582B1550941"
"1006750012.0","N",41968,"525","197.5","103687.5","64167.7220211553","0106000020D7080000010000000103000000010000000F00000000F8974078FE2D4100884870CD170A410070D926CDFE2D410076B6C511170A4180115BAD24FF2D4100F4354E50160A41804F9C537BFF2D4100EA3CC590150A418002DDF6A7FF2D41002847192E150A4180590AE906002E4100FEA575E1170A41000E1650BD002E410012CE444E160A4180B7135E5E002E4100401BE99A130A4180540691FCFF2D4100FC7FC2D2100A410039450F46FF2D4100FAD43165120A4100FE9CB2C2FE2D4100A655DA86130A41802B571F6BFE2D4100C4C8F547140A41803C0AAC5DFC2D4100747798CE180A4100A9FAFFBFFC2D410096C1969A1B0A4100F8974078FE2D4100884870CD170A41"
"2026990001.0","N",16045,"121.42","199.42","24213.5764","16463.0440145098","0106000020D708000001000000010300000001000000070000008044E4C943E72E4100B28C4AF0280D4180A2AA4685E72E4100DCD443EE280D41008F8539D8E72E4100D05BE702270D41809689E585E62E410072ABA86A230D4100B4033887E62E4100C4825336270D41809E7A7E30E72E410004BFE3F0280D418044E4C943E72E4100B28C4AF0280D41"
"2027300028.0","N",192347,"436","463.58","202120.88","192346.719112282","0106000020D7080000010000000103000000010000000B00000000E20EA9B3EB2E41006C06484BC60C41000D1CF686E92E41000C1145FBB80C4100E9EA9581E62E410038899992BF0C4100909B3E7DE72E41002670CB52C30C4100BAD35A7FE72E4100A8FBBB54C30C4100CA10BEC7E72E410028A17453C40C410092CDB3E6E72E4100F807F7F1C30C4180B993412FE92E4100B6BD78D7C80C41002FCBA283E92E41003A6F6619CA0C41009FD52DDDE92E41005CC906E6CB0C4100E20EA9B3EB2E41006C06484BC60C41"
"2031210046.0","N",20842,"40.17","81.25","3263.8125","20693.8886389915","0106000020D70800000100000001030000000100000009000000000CD7F208052F4100464F7FF20C0E410043B61DC0042F4100B8013AAD0D0E418090BD4231042F4100B8527A1B0F0E4100CA7932F8032F4100C084C7AD0F0E4180B57DCE40042F4100AC0C2865110E410032A5A684042F4100B4EB36B7100E4180E07695E0042F41000C4487E3120E4180D117F3AA052F4100BEE0B3DC100E41000CD7F208052F4100464F7FF20C0E41"
"3026390009.0","N",31482,"194.52","141.5","27524.58","31843.5949677419","0106000020D7080000010000000103000000010000000800000080D09732916A2E410070F74FB5BB084100BDA9C0DF6A2E4100D6830436BD0841807CC838C26A2E4100F8C32A95BD084100F0E0A5736B2E4100B07511FAC00841005F1FB4B66B2E4100C8C90222C0084180A4F267536C2E4100769B0D7CBA0841005A70426C6B2E4100B2FEA4E8B8084180D09732916A2E410070F74FB5BB0841"
"3047170011.0","N",28000,"200","200","40000","28415.8871198198","0106000020D7080000010000000103000000010000000B00000080EDD57DA6C52E4100A287D205B4054100E6BCFC0DC52E41002A983907B2054100EEBEF8C0C42E4100E0A05573B3054100590FAC23C42E410048EBAD64B1054180250475BBC32E41006E7A9550B305418074135C56C42E4100FC243757B505418083C09A2FC42E4100DA7D6F0EB60541009398D908C42E4100BC2EA9C5B6054100A2570E07C42E4100887723CEB605418052990EA2C42E4100587318D5B8054180EDD57DA6C52E4100A287D205B40541"
"4001090003.0","N",20151,"100","180","18000","20151.0300863295","0106000020D7080000010000000103000000010000000700000000842DFEAD812E4100FAEDE62B80094100C7D84D52812E4100006AF0737A094100BC11B390802E4100386BA8377B094100FB1A10C0802E4100FE24E12B7E094100519A0EAE802E4100DE96F03D7E0941805E82D9C5802E4100DC82C01481094100842DFEAD812E4100FAEDE62B800941"
"4008910015.0","N",35641,"120","350","42000","35641.3530608915","0106000020D7080000010000000103000000010000001D000000804592BD91B92E41005495CE9C490B41005E8F69BCB92E4100C22738FE480B4180FF48C8D9B92E410070E50F91480B410098F1F3F8B92E41003CED361D480B4100EA41F314BA2E4100AC362AB5470B4180C9AC6A33BA2E41009AD0EF43470B4180B29CE451BA2E41006056ABD2460B41009B7F2D72BA2E41002A6EAF5A460B41809132510FBB2E4100A6B2AB12440B4180BAA8016CBA2E410020042758410B410056FCE0CAB92E4100FEB8FDAE430B4100C87233E8B92E410096FFD32E440B4100481B9BCAB92E4100EA3E7BA3440B4180403A7EB0B92E41002061680A450B4100C9744496B92E410012BDC771450B4180F28AB87CB92E4100A26678D6450B41800562A262B92E410074544B3D460B41808C8A5F47B92E41003084BFA8460B4100A0089D2FB92E4100841A6606470B4100D76DB812B92E41001CCF4778470B410086DCD909B92E4100827D9C51470B4100049107EDB82E4100F0ABBABC470B4100BEDB2ACDB82E410014C62433480B41005EEEDCAFB82E41006E330DA0480B41802C332894B82E4100D2C10507490B4100BD1BC574B82E41002255AC7B490B4100FBDF18E0B82E4100809B984F4B0B4100A6D5B276B92E41003485E926490B41804592BD91B92E41005495CE9C490B41"
"4013530012.0","N",49436,"246.5","108","26622","49436.029041042","0106000020D7080000010000000103000000010000000800000080F1515837F42E410054F7760C9D094100F9D0328EF42E4100D4C024BF99094180234A67C9F22E410056FA59A79809410069B6F0A9F22E4100B05C3FCA9B094100839CB683F22E41004C21A0B29B0941801864C03BF22E41000AB34B109F094100015955D3F32E4100483DD9D9A0094180F1515837F42E410054F7760C9D0941"
"4060440001.0","N",271400,"460","590","271400","233295.406648346","0106000020D70800000100000001030000000100000007000000001D3CD119E42F41008C0EE30DF00A418022652CC8E52F410008E22FF0DE0A410084CD074BE42F4100A28D899BDC0A4180A6AAEFE3E32F41007440FDBFE00A4100368B0001E22F41006ACF4212DE0A41802C3C44C1E02F4100944326CFEA0A41001D3CD119E42F41008C0EE30DF00A41"
"4093560035.0","N",22809,"103","337","34711","22809.266818693","0106000020D7080000010000000103000000010000000D00000000D091C7A48D2F41008ECA3DE49C0741800618F5A08D2F4100E878EAE69C0741800C928EC68C2F4100E635B4A79B074180DA5D2D118B2F4100FACE626B9C0741809D931D118B2F4100821D0A6C9C074180B5F259D68B2F410076372A929D074180784C74018C2F4100201070D29D0741007EE3ED358C2F4100E086B0209E074100983319688C2F410054C8806B9E0741009ECA929C8C2F4100143FC1B99E074100701371868D2F41005E3C8116A0074100E469478D8D2F4100D29FB320A0074100D091C7A48D2F41008ECA3DE49C0741"
